"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSTP11",1.41827831222698e-224,0.338922274329754,0.964,0.905,3.22289563670458e-220,"2","GSTP1"
"PSMA2",2.18674456223231e-223,0.258618002537461,0.729,0.514,4.96915834321669e-219,"2","PSMA2"
"TRIB11",1.17142040767017e-222,0.329084441370087,0.527,0.324,2.6619357343897e-218,"2","TRIB1"
"TOB1",1.49761510264934e-222,0.346385760236068,0.705,0.503,3.40318055926036e-218,"2","TOB1"
"MAFB1",4.60506810367907e-222,0.290809873788299,0.724,0.503,1.04645567588003e-217,"2","MAFB"
"UQCRH",1.9493466932156e-221,0.28852360358874,0.958,0.873,4.42969542566312e-217,"2","UQCRH"
"MDM2",1.33935262363701e-219,0.250681803441145,0.27,0.126,3.04354490195274e-215,"2","MDM2"
"MIR22HG",7.0942500684392e-219,0.408157990606266,0.816,0.684,1.61209738555212e-214,"2","MIR22HG"
"RAB7A",9.24377567014455e-219,0.323125169000226,0.795,0.626,2.10055558328365e-214,"2","RAB7A"
"SNRPF",2.40149568859584e-218,0.273490634313362,0.76,0.552,5.45715880276519e-214,"2","SNRPF"
"EIF4G2",4.80891908623039e-218,0.298878735425208,0.938,0.842,1.09277877315499e-213,"2","EIF4G2"
"TES1",1.6015590235111e-217,0.263080181021035,0.408,0.224,3.63938272502662e-213,"2","TES"
"ATP5MC3",3.78690533513988e-214,0.379447797573393,0.832,0.663,8.60536368357187e-210,"2","ATP5MC3"
"PCNA",5.18778365077025e-212,0.261973253422781,0.375,0.205,1.17887195680103e-207,"2","PCNA"
"NHP2",5.82974741560352e-211,0.258527049794131,0.59,0.385,1.32475180272174e-206,"2","NHP2"
"SRSF6",7.94317029907213e-211,0.265500032603661,0.547,0.347,1.80500601876115e-206,"2","SRSF6"
"VCP",2.64789811870893e-208,0.259129345561285,0.641,0.429,6.01708368495418e-204,"2","VCP"
"ATF41",9.17498844107309e-207,0.272564237073902,0.942,0.847,2.08492437334945e-202,"2","ATF4"
"ATP5IF1",9.76612010371796e-204,0.269329432344303,0.823,0.645,2.21925313236887e-199,"2","ATP5IF1"
"TKT",1.80015511674744e-203,0.37248077792202,0.532,0.344,4.09067248729688e-199,"2","TKT"
"NOP56",5.38390380479977e-199,0.29817266896165,0.637,0.442,1.2234383006027e-194,"2","NOP56"
"WSB1",5.44199688476715e-198,0.327991952623383,0.911,0.815,1.23663937209449e-193,"2","WSB1"
"PLK21",2.90444902369979e-196,0.318101792975698,0.647,0.449,6.60006996145541e-192,"2","PLK2"
"RSRC2",1.24567305544552e-195,0.472251247300024,0.844,0.735,2.83066745119439e-191,"2","RSRC2"
"LSM3",3.1899387869188e-194,0.252366260138032,0.627,0.422,7.24881689939427e-190,"2","LSM3"
"BZW11",4.41643203042969e-193,0.257212704059537,0.852,0.685,1.00359001459484e-188,"2","BZW1"
"HECTD1",4.44886057333775e-192,0.256949098681198,0.437,0.263,1.01095907668527e-187,"2","HECTD1"
"LAMTOR4",4.54806166465441e-191,0.413180228284196,0.82,0.716,1.03350153267607e-186,"2","LAMTOR4"
"GOLGA4",2.85752613876049e-189,0.289972616375198,0.772,0.592,6.49344239771934e-185,"2","GOLGA4"
"FRMD4B1",2.02529043056044e-188,0.255602938739615,0.337,0.178,4.60226997440554e-184,"2","FRMD4B"
"AKR1C11",3.82798094904607e-187,0.370963274518255,0.325,0.175,8.69870390861229e-183,"2","AKR1C1"
"EIF5B",2.21099356401402e-186,0.269734275914914,0.733,0.542,5.02426177486546e-182,"2","EIF5B"
"TGIF1",3.63615601596882e-185,0.308107819913505,0.632,0.441,8.26280093068754e-181,"2","TGIF1"
"DNAJB11",5.73439254001714e-185,0.264771437159357,0.963,0.891,1.30308336079349e-180,"2","DNAJB1"
"HIGD2A",8.4071071710698e-185,0.265000424078318,0.731,0.548,1.9104310335539e-180,"2","HIGD2A"
"ARL6IP1",2.06540932825652e-183,0.288345273031928,0.831,0.659,4.69343615753012e-179,"2","ARL6IP1"
"SERTAD11",6.18076594644402e-180,0.321822569972469,0.935,0.856,1.40451725366994e-175,"2","SERTAD1"
"CAMTA1",7.08785866927331e-179,0.254863927482453,0.71,0.518,1.61064500400567e-174,"2","CAMTA1"
"TXNDC17",3.87561733037519e-173,0.260673059712597,0.513,0.335,8.80695282154458e-169,"2","TXNDC17"
"CYB5A1",4.24235398964483e-169,0.321335651677338,0.665,0.502,9.64032520606891e-165,"2","CYB5A"
"HSPH1",4.35797667872337e-166,0.403297157546987,0.808,0.665,9.90306620473098e-162,"2","HSPH1"
"SRPK2",1.99911606606751e-163,0.251913456552919,0.382,0.232,4.54279134853181e-159,"2","SRPK2"
"COX5B",1.76468144283205e-161,0.283415089979915,0.892,0.784,4.01006211069155e-157,"2","COX5B"
"ODC11",3.03062417805551e-157,0.5812520380446,0.567,0.417,6.88679038221333e-153,"2","ODC1"
"PRDX2",1.09921179744299e-156,0.269555811831753,0.806,0.654,2.49784888850945e-152,"2","PRDX2"
"EIF4A2",4.70157995249315e-153,0.359121925264821,0.921,0.844,1.06838702840454e-148,"2","EIF4A2"
"RTN4",4.8223803287352e-151,0.295662814865493,0.957,0.905,1.09583770590179e-146,"2","RTN4"
"TAF1D",9.20736792842085e-149,0.267019699492577,0.82,0.67,2.09228228805435e-144,"2","TAF1D"
"ZFAND2A",1.64183400164663e-141,0.357135932017751,0.425,0.277,3.7309035853418e-137,"2","ZFAND2A"
"ATF3",4.02307183994099e-141,0.490635383315938,0.794,0.729,9.1420284490819e-137,"2","ATF3"
"TRA2B",1.49664307812949e-132,0.338313137617483,0.759,0.621,3.40097173074145e-128,"2","TRA2B"
"DST",2.46739285645171e-127,1.39927165804545,0.46,0.407,5.60690352700086e-123,"2","DST"
"PPP1R10",1.15827784361041e-113,0.355722386683384,0.681,0.562,2.6320705718203e-109,"2","PPP1R10"
"SRSF7",5.75631253293271e-108,0.31091469925649,0.874,0.768,1.30806445998363e-103,"2","SRSF7"
"BTG2",6.5740804480541e-98,0.370379139024988,0.649,0.53,1.49389404101581e-93,"2","BTG2"
"SQSTM1",3.00978361021826e-96,0.279353893789767,0.918,0.889,6.83943227585998e-92,"2","SQSTM1"
"KLF61",1.40402893047369e-89,0.319363079370038,0.916,0.9,3.19051534160841e-85,"2","KLF6"
"SETX",3.97424888758321e-69,0.254735103730598,0.338,0.241,9.03108317214409e-65,"2","SETX"
"DDIT3",2.49180121658418e-60,0.50501723397784,0.487,0.421,5.66236908456589e-56,"2","DDIT3"
"EGR11",1.10522560106916e-52,0.513785913421444,0.753,0.69,2.51151465586957e-48,"2","EGR1"
"NCOA71",3.25661538721075e-51,0.375631405084148,0.568,0.497,7.4003328058977e-47,"2","NCOA7"
"FABP51",1.02697254390981e-47,0.725963504781341,0.565,0.498,2.33369240878066e-43,"2","FABP5"
"RECQL",5.18894100990086e-42,0.296229940844043,0.329,0.262,1.17913495508987e-37,"2","RECQL"
"STMN1",6.45598321474969e-42,0.262423483276554,0.492,0.408,1.46705762571972e-37,"2","STMN1"
"ANXA1",4.43499352232639e-05,0.294699703140397,0.874,0.926,1,"2","ANXA1"
"TAGLN",0,4.02982197523868,0.966,0.196,0,"3","TAGLN"
"RGS5",0,3.6993003031905,0.762,0.027,0,"3","RGS5"
"ACTA2",0,3.37306172435291,0.743,0.072,0,"3","ACTA2"
"C11orf96",0,3.33206919777476,0.989,0.592,0,"3","C11orf96"
"TPM2",0,2.97345028294649,0.935,0.279,0,"3","TPM2"
"MYL9",0,2.76014186358695,0.938,0.407,0,"3","MYL9"
"ID4",0,2.71564333487303,0.895,0.335,0,"3","ID4"
"MT1A",0,2.35840896199748,0.612,0.149,0,"3","MT1A"
"NDUFA4L21",0,2.29995834392946,0.706,0.11,0,"3","NDUFA4L2"
